Player,Year,Team,Position,Games_Played,Games_Started,Min_Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Candace Parker,2016,LAS,F,34,34,1046,190,430,.442,42,110,.382,148,320,.463,.491,99,140,.707,33,250,166,47,33,98,74,521
Cheyenne Parker,2016,CHI,F,25,7,315,42,83,.506,0,1,.000,42,82,.512,.506,17,32,.531,35,81,6,12,5,19,42,101
Jia Perkins,2016,MIN,G,34,5,705,83,227,.366,13,57,.228,70,170,.412,.394,40,48,.833,21,90,45,31,7,23,47,219
Devereaux Peters,2016,IND,F,30,0,440,73,133,.549,1,3,.333,72,130,.554,.553,10,18,.556,20,91,22,12,18,18,60,157
Haley Peters,2016,SAS,F,34,0,594,75,215,.349,18,72,.250,57,143,.399,.391,28,37,.757,16,78,27,12,7,28,64,196
Sonja Petrovic,2016,PHO,F,31,13,459,51,121,.421,11,32,.344,40,89,.449,.467,45,47,.957,25,69,20,18,7,30,68,158
Erin Phillips,2016,DAL,G,32,12,466,49,112,.438,23,60,.383,26,52,.500,.540,29,32,.906,15,37,38,5,3,25,32,150
Plenette Pierson,2016,DAL,F,27,27,718,116,300,.387,30,89,.337,86,211,.408,.437,58,70,.829,36,123,53,22,10,48,96,320
Theresa Plaisance,2016,DAL,F,27,1,320,43,108,.398,15,45,.333,28,63,.444,.468,7,11,.636,22,67,8,7,11,19,61,108
Jeanette Pohlen-Mavunga,2016,IND,G,12,0,49,6,11,.545,3,6,.500,3,5,.600,.682,1,1,1.000,0,1,5,0,0,2,5,16
Cappie Pondexter,2016,CHI,G,33,29,905,163,380,.429,17,47,.362,146,333,.438,.451,82,93,.882,13,94,90,31,3,48,56,425
Aerial Powers,2016,DAL,F,32,2,614,100,254,.394,32,87,.368,68,167,.407,.457,101,121,.835,27,87,35,33,7,51,74,333
Epiphanny Prince,2016,NYL,G,6,0,83,10,25,.400,4,11,.364,6,14,.429,.480,7,7,1.000,1,9,4,2,0,2,8,31
LaToya Sanders,2016,WAS,F,4,0,69,9,18,.500,0,0,,9,18,.500,.500,11,13,.846,4,12,1,3,10,3,12,29
Allie Quigley,2016,CHI,G,34,0,604,129,274,.471,30,82,.366,99,192,.516,.526,34,38,.895,4,29,56,17,5,37,35,322
