Player,Year,Team,Position,Games_Played,Games_Started,Min_Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Alicia Thompson,2002,IND,F,18,2,314,39,109,.358,7,29,.241,32,80,.400,.390,12,17,.706,12,42,14,7,2,18,20,97
Tina Thompson,2002,HOU,F,29,29,1052,176,408,.431,40,108,.370,136,300,.453,.480,93,113,.823,67,217,62,25,20,92,76,485
Slobodanka Tuvic,2002,PHO,C,26,1,320,30,77,.390,1,6,.167,29,71,.408,.396,25,32,.781,11,63,11,9,9,31,53,86
Michele Van Gorp,2002,MIN,C,22,13,352,41,90,.456,2,7,.286,39,83,.470,.467,16,22,.727,29,64,14,6,11,20,53,100
Kristen Veal,2002,PHO,G,23,10,361,24,79,.304,13,47,.277,11,32,.344,.386,10,13,.769,6,27,41,14,2,42,41,71
Kamila Vodichkova,2002,SEA,F-C,32,30,817,114,245,.465,13,38,.342,101,207,.488,.492,54,67,.806,61,176,47,36,18,55,96,295
Ayana Walker,2002,DET,F,32,0,548,63,167,.377,2,9,.222,61,158,.386,.383,34,49,.694,56,118,17,12,34,29,56,162
DeMya Walker,2002,POR,F,31,29,848,139,287,.484,2,12,.167,137,275,.498,.488,59,95,.621,55,154,51,26,33,90,97,339
Maren Walseth,2002,WAS,F,18,0,104,6,25,.240,1,7,.143,5,18,.278,.260,0,2,.000,7,21,7,2,0,9,8,13
Coquese Washington,2002,TOT,G,32,23,674,43,120,.358,22,52,.423,21,68,.309,.450,16,22,.727,14,74,79,36,2,44,60,124
Tonya Massaline,2002,WAS,F,25,0,291,28,86,.326,6,18,.333,22,68,.324,.360,11,13,.846,27,38,15,3,2,16,6,73
Ann Wauters,2002,CLE,C,28,25,802,120,217,.553,0,1,.000,120,216,.556,.553,74,87,.851,45,140,39,16,21,59,74,314
Teresa Weatherspoon,2002,NYL,G,32,32,954,39,114,.342,2,20,.100,37,94,.394,.351,28,54,.519,23,86,181,42,3,78,88,108
Val Whiting-Raymond,2002,MIN,C-F,6,3,52,4,13,.308,0,0,,4,13,.308,.308,5,12,.417,3,9,5,2,2,4,10,13
Tamika Whitmore,2002,NYL,F,32,32,977,148,310,.477,0,1,.000,148,309,.479,.477,110,150,.733,43,141,23,27,43,49,102,406
Sue Wicks,2002,NYL,F,30,0,428,24,70,.343,0,1,.000,24,69,.348,.343,18,27,.667,30,101,14,22,15,30,60,66
Adrian Williams-Strong,2002,PHO,C-F,32,30,878,79,169,.467,0,0,,79,169,.467,.467,42,60,.700,64,220,35,48,29,63,88,200
Lenae Williams,2002,DET,G-F,27,0,177,30,101,.297,13,54,.241,17,47,.362,.361,0,5,.000,7,19,4,4,0,14,15,73
Natalie Williams,2002,UTA,C,31,31,1008,124,285,.435,5,12,.417,119,273,.436,.444,98,132,.742,105,255,38,38,16,72,122,351
Rita Williams,2002,TOT,G,29,1,569,44,146,.301,19,73,.260,25,73,.342,.366,32,44,.727,10,43,50,32,2,39,45,139
Tamika Williams,2002,MIN,F,31,31,1023,124,221,.561,3,11,.273,121,210,.576,.568,63,108,.583,96,229,51,44,13,74,57,314
Sophia Witherspoon,2002,LAS,G,31,1,358,49,118,.415,28,67,.418,21,51,.412,.534,35,46,.761,9,29,29,13,2,22,27,161
Kara Wolters,2002,SAC,C,14,0,78,9,28,.321,0,0,,9,28,.321,.321,6,10,.600,8,23,3,0,3,6,18,24
Brooke Wyckoff,2002,ORL,F,32,5,514,31,95,.326,14,50,.280,17,45,.378,.400,5,7,.714,28,90,32,19,18,30,71,81
Lindsey Yamasaki,2002,MIA,G-F,15,0,147,19,43,.442,9,17,.529,10,26,.385,.547,5,10,.500,3,15,9,4,1,10,20,52
Carolyn Young,2002,POR,G,19,0,186,26,74,.351,10,22,.455,16,52,.308,.419,21,24,.875,5,14,12,4,0,18,18,83
Oksana Zakaluzhnaya,2002,TOT,C,8,0,47,3,9,.333,0,0,,3,9,.333,.333,2,4,.500,0,3,0,0,1,4,7,8
Svetlana Abrosimova,2003,MIN,F,30,25,792,112,285,.393,25,82,.305,87,203,.429,.437,69,98,.704,44,141,82,44,11,90,79,318
Jordan Adams,2003,MIN,C,10,0,96,13,33,.394,5,12,.417,8,21,.381,.470,2,2,1.000,10,23,4,2,3,10,10,33
Mactabene Amachree,2003,SEA,F,7,0,47,3,10,.300,0,0,,3,10,.300,.300,2,4,.500,4,14,0,5,2,9,3,8
Chantelle Anderson,2003,SAC,C,26,0,171,19,44,.432,0,0,,19,44,.432,.432,4,12,.333,7,24,5,5,5,17,33,42
Janeth Arcain,2003,HOU,G,34,34,1136,151,324,.466,9,37,.243,142,287,.495,.480,79,94,.840,24,136,67,41,1,50,64,390
Leigh Aziz,2003,IND,F,7,0,44,4,14,.286,0,0,,4,14,.286,.286,2,4,.500,2,9,1,0,4,3,5,10
Jennifer Azzi,2003,SAS,G,34,34,1136,85,211,.403,39,97,.402,46,114,.404,.495,51,65,.785,10,91,111,27,9,61,98,260
Elena Baranova,2003,NYL,F,33,7,850,107,257,.416,33,91,.363,74,166,.446,.481,31,35,.886,45,181,64,36,43,62,69,278
LaQuanda Barksdale,2003,SAS,G,26,0,168,21,79,.266,15,52,.288,6,27,.222,.361,2,2,1.000,8,33,5,1,3,10,21,59
Adia Barnes,2003,SEA,F,16,16,396,32,84,.381,12,31,.387,20,53,.377,.452,12,21,.571,26,65,23,11,7,18,36,88
Lucienne Berthieu,2003,CLE,F-C,22,4,201,27,52,.519,0,1,.000,27,51,.529,.519,30,46,.652,20,42,6,10,4,22,38,84
Tully Bevilaqua,2003,SEA,G,31,0,252,17,51,.333,8,21,.381,9,30,.300,.412,16,21,.762,9,26,32,14,1,20,30,58
Sue Bird,2003,SEA,G,34,34,1136,155,368,.421,49,140,.350,106,228,.465,.488,61,69,.884,22,113,221,48,1,110,47,420
Debbie Black,2003,CON,G,34,0,373,24,68,.353,1,3,.333,23,65,.354,.360,6,9,.667,16,51,46,20,2,18,33,55
Octavia Blue,2003,HOU,F,16,0,37,1,4,.250,0,0,,1,4,.250,.250,2,4,.500,1,2,2,0,0,2,3,4
Ruthie Bolton,2003,SAC,G,33,0,521,55,175,.314,19,98,.194,36,77,.468,.369,20,26,.769,15,57,35,33,2,21,52,149
Sandy Brondello,2003,SEA,G,34,34,975,117,282,.415,21,48,.438,96,234,.410,.452,25,31,.806,19,56,69,31,2,37,58,280
Coretta Brown,2003,IND,G,30,2,522,61,164,.372,36,100,.360,25,64,.391,.482,28,33,.848,11,41,31,21,4,36,30,186
Edwina Brown,2003,PHO,G-F,34,6,524,41,152,.270,0,3,.000,41,149,.275,.270,36,44,.818,29,71,62,30,7,47,44,118
Kiesha Brown,2003,WAS,G,27,0,269,24,72,.333,10,33,.303,14,39,.359,.403,2,3,.667,6,32,28,13,1,22,23,60
Rushia Brown,2003,CHA,F,34,5,483,53,116,.457,0,2,.000,53,114,.465,.457,19,23,.826,34,83,16,29,10,35,88,125
Marla Brumfield,2003,CHA,G,25,0,123,6,16,.375,0,3,.000,6,13,.462,.375,6,6,1.000,1,10,14,1,1,6,13,18
Annie Burgess,2003,WAS,G,34,33,841,50,134,.373,16,58,.276,34,76,.447,.433,15,25,.600,24,79,112,27,1,52,47,131
Alisa Burras,2003,SEA,C,27,2,270,35,75,.467,0,0,,35,75,.467,.467,19,27,.704,27,61,5,5,5,25,58,89
Janell Burse,2003,MIN,C,29,14,438,76,155,.490,0,2,.000,76,153,.497,.490,54,70,.771,40,108,19,13,28,42,81,206
Latasha Byears,2003,LAS,G-F,5,0,72,10,25,.400,0,1,.000,10,24,.417,.400,8,11,.727,12,21,2,0,2,2,12,28
Edna Campbell,2003,SAC,G,34,34,724,98,244,.402,46,111,.414,52,133,.391,.496,25,33,.758,17,70,43,21,5,43,42,267
Dominique Canty,2003,HOU,G,32,4,648,55,145,.379,0,1,.000,55,144,.382,.379,62,93,.667,36,100,56,22,1,49,62,172
Swin Cash,2003,DET,F,33,33,1097,195,430,.453,12,40,.300,183,390,.469,.467,146,214,.682,65,193,119,43,23,108,76,548
Iziane Castro Marques,2003,PHO,F-G,16,0,178,25,71,.352,8,27,.296,17,44,.386,.408,11,18,.611,6,12,9,6,1,10,11,69
Tamika Catchings,2003,IND,F,34,34,1210,221,512,.432,74,191,.387,147,321,.458,.504,155,183,.847,82,272,114,72,35,102,122,671
Kayte Christensen,2003,PHO,F,30,16,659,78,161,.484,0,0,,78,161,.484,.484,50,83,.602,61,126,16,25,16,39,104,206
Courtney Coleman,2003,CON,F,20,0,141,11,20,.550,0,0,,11,20,.550,.550,14,30,.467,8,22,1,8,2,13,18,36
Cynthia Cooper,2003,HOU,G,4,4,144,16,38,.421,7,18,.389,9,20,.450,.513,25,28,.893,2,10,22,4,1,14,9,64
Sylvia Crawley,2003,SAS,F,33,8,564,50,130,.385,0,0,,50,130,.385,.385,15,22,.682,39,105,19,18,19,40,76,115
Edniesha Curry,2003,PHO,G,20,0,205,13,35,.371,5,22,.227,8,13,.615,.443,2,3,.667,1,11,24,9,0,15,25,33
Stacey Dales,2003,WAS,F,34,31,998,122,298,.409,57,160,.356,65,138,.471,.505,39,55,.709,44,101,114,29,12,72,97,340
Grace Daley,2003,PHO,G,3,0,28,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,1,2,3,0,1,3,2,2
Helen Darling,2003,CLE,G,34,34,832,44,143,.308,23,71,.324,21,72,.292,.388,30,41,.732,25,87,128,39,6,74,87,141
Anna DeForge,2003,PHO,G,34,27,1065,147,357,.412,61,148,.412,86,209,.411,.497,50,69,.725,32,105,72,51,12,53,61,405
Tai Dillard,2003,SAS,G,24,0,168,16,65,.246,4,23,.174,12,42,.286,.277,5,6,.833,1,15,15,7,4,14,22,41
Tamecka Dixon,2003,LAS,G,30,30,1042,159,364,.437,11,52,.212,148,312,.474,.452,83,94,.883,41,126,89,35,10,69,83,412
Bethany Donaphin,2003,NYL,F-C,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0
Katie Douglas,2003,CON,G-F,28,27,843,120,274,.438,47,123,.382,73,151,.483,.524,49,68,.721,33,106,56,31,11,28,38,336
Margo Dydek,2003,SAS,C,34,34,926,156,346,.451,0,1,.000,156,345,.452,.451,94,130,.723,45,251,58,19,100,80,113,406
Simone Edwards,2003,SEA,C,34,6,577,61,134,.455,0,0,,61,134,.455,.455,35,56,.625,54,133,16,10,9,31,55,157
Teresa Edwards,2003,MIN,G-F,34,34,854,63,168,.375,24,80,.300,39,88,.443,.446,31,40,.775,24,105,148,41,11,92,60,181
Shalonda Enis,2003,CHA,F-C,29,20,613,82,188,.436,26,62,.419,56,126,.444,.505,62,77,.805,62,125,16,29,2,41,63,252
Barbara Farris,2003,DET,F-C,34,0,522,43,99,.434,0,0,,43,99,.434,.434,41,63,.651,29,82,23,10,4,41,62,127
Allison Feaster,2003,CHA,F,34,34,1096,142,378,.376,72,205,.351,70,173,.405,.471,66,78,.846,37,113,73,52,9,72,75,422
Marie Ferdinand-Harris,2003,SAS,G,34,34,1116,139,384,.362,16,52,.308,123,332,.370,.383,176,223,.789,28,127,90,58,6,85,87,470
Ukari Figgs,2003,HOU,G,34,30,952,52,124,.419,26,69,.377,26,55,.473,.524,19,22,.864,11,81,82,26,1,59,33,149
Cheryl Ford,2003,DET,F,32,32,956,128,270,.474,0,0,,128,270,.474,.474,88,129,.682,99,334,27,32,31,79,109,344
La'Keshia Frett,2003,SAC,F,24,4,150,17,47,.362,1,2,.500,16,45,.356,.372,1,2,.500,9,23,12,2,3,10,16,36
Linda Frohlich,2003,NYL,F-C,26,0,214,31,72,.431,7,13,.538,24,59,.407,.479,14,22,.636,11,36,15,6,8,14,26,83
Kelley Gibson,2003,HOU,F-G,26,0,209,14,42,.333,10,24,.417,4,18,.222,.452,0,0,,4,16,8,1,5,9,14,38
Jennifer Gillom,2003,LAS,F-C,33,10,397,40,97,.412,7,26,.269,33,71,.465,.448,16,21,.762,18,55,21,16,3,9,65,103
Adrienne Goodson,2003,SAS,F,33,32,969,141,357,.395,8,36,.222,133,321,.414,.406,81,102,.794,74,185,71,24,6,85,96,371
Shaunzinski Gortman,2003,MIN,G,25,0,200,21,49,.429,5,20,.250,16,29,.552,.480,3,4,.750,9,32,14,11,1,20,25,50
Yolanda Griffith,2003,SAC,C-F,34,34,1015,161,332,.485,0,2,.000,161,330,.488,.485,147,190,.774,92,248,46,57,39,75,125,469
Lady Grooms,2003,SAC,F,34,9,470,45,112,.402,0,1,.000,45,111,.405,.402,21,26,.808,15,46,29,17,5,21,27,111
Becky Hammon,2003,NYL,G,11,2,257,50,87,.575,23,49,.469,27,38,.711,.707,39,41,.951,1,21,18,10,1,27,13,162
Lisa Harrison,2003,PHO,F,33,33,838,74,179,.413,0,3,.000,74,176,.420,.413,35,51,.686,42,118,36,29,6,34,58,183
Kristi Harrower,2003,MIN,G,31,0,499,32,87,.368,16,43,.372,16,44,.364,.460,8,13,.615,9,39,72,18,3,39,15,88
Tracy Henderson,2003,CLE,C,11,0,45,1,13,.077,0,0,,1,13,.077,.077,0,0,,6,14,3,1,1,4,6,2
Sonja Henning,2003,TOT,G,24,1,295,11,43,.256,0,9,.000,11,34,.324,.256,2,8,.250,2,25,29,15,0,13,28,24
Jessie Hicks,2003,CON,C-F,27,0,253,37,80,.463,0,0,,37,80,.463,.463,24,25,.960,23,48,6,11,9,26,47,98
Chamique Holdsclaw,2003,WAS,F,27,27,948,204,480,.425,6,35,.171,198,445,.445,.431,140,155,.903,72,294,89,34,15,72,74,554
Kedra Holland-Corn,2003,DET,G,34,2,694,107,232,.461,50,124,.403,57,108,.528,.569,48,63,.762,12,57,63,36,3,59,26,312
Dalma Ivanyi,2003,PHO,G,4,0,34,3,8,.375,0,2,.000,3,6,.500,.375,0,0,,2,4,2,0,1,2,4,6
Niele Ivey,2003,IND,G,27,21,651,45,116,.388,33,84,.393,12,32,.375,.530,12,17,.706,5,32,71,29,7,28,40,135
Deanna Jackson,2003,CLE,F,34,22,763,83,198,.419,29,70,.414,54,128,.422,.492,50,70,.714,37,89,51,20,13,33,92,245
Gwen Jackson,2003,SAS,F,33,26,975,114,286,.399,5,30,.167,109,256,.426,.407,56,88,.636,86,205,20,15,17,46,85,289
Lauren Jackson,2003,SEA,F-C,33,33,1109,254,526,.483,39,123,.317,215,403,.533,.520,151,183,.825,82,307,62,38,64,69,106,698
Tamicha Jackson,2003,PHO,G,34,34,958,124,361,.343,35,99,.354,89,262,.340,.392,17,21,.810,24,82,146,52,4,76,62,300
Adrienne Johnson,2003,CON,G,34,5,584,69,195,.354,17,49,.347,52,146,.356,.397,18,24,.750,23,58,18,17,1,21,36,173
Chandra Johnson,2003,LAS,C,8,0,45,1,5,.200,1,5,.200,0,0,,.300,3,4,.750,2,6,3,0,1,4,6,6
LaTonya Johnson,2003,SAS,F,31,1,279,18,71,.254,6,23,.261,12,48,.250,.296,16,22,.727,7,25,9,3,1,14,31,58
Pollyanna Johns Kimbrough,2003,CLE,C,30,2,416,35,63,.556,0,0,,35,63,.556,.556,19,34,.559,31,82,19,12,10,19,35,89
Shannon Johnson,2003,CON,G,34,34,1107,138,319,.433,19,73,.260,119,246,.484,.462,125,171,.731,39,134,196,44,3,107,77,420
Tiffani Johnson,2003,HOU,C,22,3,359,30,62,.484,0,0,,30,62,.484,.484,17,23,.739,19,63,13,3,7,20,33,77
Vickie Johnson,2003,NYL,G-F,32,32,1042,158,345,.458,35,96,.365,123,249,.494,.509,79,92,.859,30,95,75,29,7,55,65,430
Asjha Jones,2003,WAS,F,34,10,748,121,279,.434,7,17,.412,114,262,.435,.446,41,55,.745,62,135,52,16,25,63,109,290
Merlakia Jones,2003,CLE,G,34,15,672,66,196,.337,4,13,.308,62,183,.339,.347,28,39,.718,18,97,44,22,3,36,59,164
Zuzi Klimesova,2003,IND,F,1,0,3,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,0,0,0,0,0,1,2
Sheila Lambert,2003,DET,G,27,1,187,24,66,.364,7,16,.438,17,50,.340,.417,32,41,.780,10,28,14,5,0,29,15,87
Amanda Lassiter,2003,SEA,F,32,18,733,60,156,.385,24,73,.329,36,83,.434,.462,19,30,.633,33,112,42,27,26,42,92,163
Kara Lawson,2003,SAC,G,34,0,769,89,227,.392,54,135,.400,35,92,.380,.511,31,40,.775,30,107,56,15,5,42,45,263
Betty Lennox,2003,CLE,G,34,1,560,100,269,.372,32,103,.311,68,166,.410,.431,26,36,.722,19,89,32,14,4,58,77,258
Lisa Leslie,2003,LAS,C,23,23,792,165,373,.442,12,37,.324,153,336,.455,.458,82,133,.617,76,231,46,31,63,65,93,424
Tynesha Lewis,2003,CHA,G,23,0,234,26,62,.419,7,13,.538,19,49,.388,.476,11,12,.917,11,33,20,10,6,16,18,70
Rebecca Lobo,2003,CON,C,25,13,297,25,88,.284,7,28,.250,18,60,.300,.324,2,9,.222,9,52,5,6,15,14,33,59
Helen Luz,2003,WAS,G,20,0,165,19,53,.358,12,40,.300,7,13,.538,.472,9,10,.900,2,10,21,6,2,11,16,59
Mwadi Mabika,2003,LAS,G,32,30,1042,158,388,.407,28,106,.264,130,282,.461,.443,97,112,.866,34,141,82,30,18,74,105,441
Hamchetou Maiga-Ba,2003,SAC,F,22,0,190,17,52,.327,0,0,,17,52,.327,.327,8,20,.400,13,37,14,18,2,14,27,42
Sonja Mallory,2003,PHO,C,6,0,44,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,4,10,0,1,4,6,7,10
Rhonda Mapp,2003,LAS,C,24,4,255,30,60,.500,0,1,.000,30,59,.508,.500,2,4,.500,26,68,6,7,6,12,45,62
Stephanie White,2003,IND,G-F,28,10,577,60,173,.347,29,84,.345,31,89,.348,.431,45,48,.938,14,41,58,34,6,37,60,194
Nikki McCray,2003,IND,G,34,32,734,52,138,.377,7,32,.219,45,106,.425,.402,20,24,.833,18,51,49,37,2,44,67,131
Nicky McCrimmon,2003,LAS,G,33,1,299,28,63,.444,5,12,.417,23,51,.451,.484,7,8,.875,7,29,32,19,1,17,20,68
Danielle McCulley,2003,SEA,C-F,7,0,26,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,0,1,0,0,0,4,3,2
Teana Miller,2003,CHA,C,31,1,341,41,78,.526,0,1,.000,41,77,.532,.526,23,31,.742,37,91,6,14,24,27,58,105
Taj McWilliams-Franklin,2003,CON,F-C,34,34,983,133,301,.442,12,43,.279,121,258,.469,.462,76,102,.745,78,227,49,43,33,54,103,354
Chasity Melvin,2003,CLE,C-F,34,34,1061,159,333,.477,3,11,.273,156,322,.484,.482,123,176,.699,82,215,52,28,22,67,108,444
Coco Miller,2003,WAS,G,33,33,1076,172,382,.450,32,89,.360,140,293,.478,.492,37,53,.698,55,127,86,39,7,53,95,413
Kelly Miller,2003,CHA,G,34,0,523,68,167,.407,22,52,.423,46,115,.400,.473,31,40,.775,20,53,47,18,2,35,44,189
Tausha Mills,2003,SAS,C,29,0,185,20,49,.408,0,0,,20,49,.408,.408,18,31,.581,27,55,7,4,2,23,58,58
DeLisha Milton-Jones,2003,LAS,F,31,30,1086,139,328,.424,23,61,.377,116,267,.434,.459,115,143,.804,59,220,64,49,41,79,109,416
Tamara Moore,2003,TOT,G,26,0,176,19,42,.452,0,9,.000,19,33,.576,.452,16,19,.842,6,28,12,9,6,16,14,54
Jenny Mowe,2003,LAS,C,1,0,21,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,0,0,1,1,3,0
Astou Ndiaye-Diatta,2003,DET,F,11,2,70,10,21,.476,0,0,,10,21,.476,.476,0,2,.000,5,14,1,3,1,9,3,20
Deanna Nolan,2003,DET,G-F,32,32,954,136,312,.436,48,114,.421,88,198,.444,.513,76,96,.792,12,107,83,41,14,69,65,396
Vanessa Nygaard,2003,LAS,F,11,3,168,16,36,.444,6,17,.353,10,19,.526,.528,3,4,.750,11,19,5,3,0,4,22,41
Murriel Page,2003,WAS,F,34,34,850,83,220,.377,5,12,.417,78,208,.375,.389,42,56,.750,62,152,35,18,24,41,101,213
Wendy Palmer,2003,CON,F,32,1,433,58,147,.395,10,46,.217,48,101,.475,.429,23,28,.821,29,106,16,11,3,35,62,149
Michaela Pavlickova,2003,PHO,F,8,0,29,3,7,.429,0,0,,3,7,.429,.429,0,0,,1,4,1,1,0,2,1,6
Ticha Penicheiro,2003,SAC,G,34,34,1089,62,205,.302,15,60,.250,47,145,.324,.339,44,76,.579,29,119,229,61,1,81,76,183
Jocelyn Penn,2003,WAS,F,30,0,288,31,78,.397,2,13,.154,29,65,.446,.410,22,33,.667,19,52,16,15,1,20,28,86
Erin Perperoglou,2003,CHA,F,14,0,44,3,8,.375,0,0,,3,8,.375,.375,3,4,.750,2,4,3,0,0,2,6,9
Bridget Pettis,2003,IND,G,31,0,148,15,52,.288,6,27,.222,9,25,.360,.346,13,17,.765,5,19,8,4,1,8,17,49
Tari Phillips,2003,NYL,F-C,33,32,1033,142,358,.397,1,5,.200,141,353,.399,.398,87,134,.649,99,280,56,56,28,92,118,372
Plenette Pierson,2003,PHO,F,33,5,602,67,177,.379,0,2,.000,67,175,.383,.379,64,101,.634,37,80,22,19,13,42,87,198
Elaine Powell,2003,DET,G,33,33,938,105,233,.451,7,20,.350,98,213,.460,.466,79,106,.745,43,106,129,45,9,79,65,296
Lynn Pride,2003,TOT,G-F,17,0,94,7,19,.368,0,0,,7,19,.368,.368,4,8,.500,11,23,1,3,1,11,20,18
Felicia Ragland,2003,PHO,G,3,0,39,1,12,.083,1,5,.200,0,7,.000,.125,2,2,1.000,0,2,2,2,0,3,4,5
Semeka Randall,2003,SAS,G,33,1,339,32,90,.356,0,1,.000,32,89,.360,.356,24,45,.533,25,53,23,11,0,44,41,88
Kristen Rasmussen,2003,IND,F,33,25,814,94,200,.470,7,15,.467,87,185,.470,.488,31,39,.795,44,115,64,24,15,48,65,226
Tracy Reid,2003,PHO,F,2,0,12,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,1,1,2,0,1,4,2
Ruth Riley,2003,DET,C,34,34,995,115,231,.498,0,0,,115,231,.498,.498,97,127,.764,59,201,64,25,58,82,128,327
Jennifer Rizzotti,2003,CLE,G,33,0,525,20,72,.278,10,51,.196,10,21,.476,.347,9,16,.563,4,42,65,14,0,35,22,59
Crystal Robinson,2003,NYL,F,33,33,1078,143,326,.439,62,168,.369,81,158,.513,.534,47,56,.839,13,70,63,40,13,43,94,395
Nykesha Sales,2003,CON,F-G,34,34,1106,194,468,.415,44,114,.386,150,354,.424,.462,116,144,.806,27,145,92,46,13,73,107,548
Sheri Sam,2003,MIN,G-F,34,28,953,138,360,.383,24,73,.329,114,287,.397,.417,74,105,.705,46,142,88,38,6,48,70,374
Nakia Sanford,2003,WAS,C-F,17,0,134,20,40,.500,0,0,,20,40,.500,.500,9,20,.450,10,26,1,3,2,14,35,49
Kelly Schumacher,2003,IND,C,34,1,480,81,169,.479,4,9,.444,77,160,.481,.491,23,27,.852,40,99,20,7,24,32,63,189
Georgia Schweitzer,2003,MIN,G-F,16,0,118,6,17,.353,3,9,.333,3,8,.375,.441,0,0,,7,18,7,3,1,8,6,15
K.B. Sharp,2003,NYL,G,30,0,398,28,71,.394,7,24,.292,21,47,.447,.444,31,39,.795,11,32,37,14,0,26,15,94
Gergana Slavtcheva,2003,PHO,G,2,0,12,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,1,0,0,1,2,0
Aiysha Smith,2003,WAS,F,31,2,422,41,120,.342,5,34,.147,36,86,.419,.363,17,34,.500,21,65,10,11,9,26,44,104
Charlotte Smith,2003,CHA,F,27,9,443,31,98,.316,9,32,.281,22,66,.333,.362,24,36,.667,23,60,18,10,2,24,54,95
Charmin Smith,2003,PHO,G,4,0,17,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,4,1,0,0,0,2,0
Katie Smith,2003,MIN,G,34,34,1185,208,455,.457,78,200,.390,130,255,.510,.543,126,143,.881,40,138,84,25,6,67,112,620
Tangela Smith,2003,SAC,C,34,34,986,188,427,.440,13,49,.265,175,378,.463,.456,41,58,.707,61,187,52,43,32,56,103,430
Michelle Snow,2003,HOU,C,34,34,1025,126,253,.498,0,1,.000,126,252,.500,.498,62,85,.729,76,263,42,35,62,68,120,314
Dawn Staley,2003,CHA,G,34,34,1086,90,216,.417,28,72,.389,62,144,.431,.481,61,73,.836,14,58,174,49,4,78,76,269
Andrea Stinson,2003,CHA,G,34,34,1000,147,321,.458,23,75,.307,124,246,.504,.494,60,79,.759,28,140,97,48,5,75,70,377
Jung Sun-Min,2003,SEA,C,17,0,118,13,32,.406,0,7,.000,13,25,.520,.406,4,4,1.000,1,10,1,5,0,5,13,30
Tammy Sutton-Brown,2003,CHA,C,34,33,864,98,233,.421,0,0,,98,233,.421,.421,90,131,.687,73,201,15,19,50,59,132,286
Sheryl Swoopes,2003,HOU,F-G,31,30,1084,175,434,.403,24,79,.304,151,355,.425,.431,110,124,.887,32,143,121,77,26,73,48,484
Penny Taylor,2003,CLE,F,34,33,898,143,340,.421,34,99,.343,109,241,.452,.471,78,95,.821,44,148,80,38,10,60,53,398
Nikki Teasley,2003,LAS,G,34,34,1189,112,288,.389,70,165,.424,42,123,.341,.510,98,112,.875,30,175,214,39,15,108,68,392
LaToya Thomas,2003,CLE,F,32,25,852,137,296,.463,0,6,.000,137,290,.472,.463,71,90,.789,63,164,37,28,13,42,62,345
Stacey Thomas,2003,TOT,F,30,1,269,20,62,.323,7,27,.259,13,35,.371,.379,14,27,.519,15,43,15,20,9,16,24,61
Tina Thompson,2003,HOU,F,28,28,974,176,426,.413,39,114,.342,137,312,.439,.459,81,104,.779,39,165,47,18,23,69,65,472
Erin Thorn,2003,NYL,G,23,0,181,13,42,.310,8,33,.242,5,9,.556,.405,10,10,1.000,3,11,16,4,1,13,8,44
Slobodanka Tuvic,2003,PHO,C,17,14,365,45,116,.388,0,4,.000,45,112,.402,.388,37,46,.804,31,67,12,10,15,32,61,127
Mfon Udoka,2003,HOU,F,25,3,251,32,64,.500,0,1,.000,32,63,.508,.500,16,23,.696,22,51,4,4,2,21,38,80
Petra Ujhelyi,2003,DET,C,14,0,68,2,8,.250,0,0,,2,8,.250,.250,0,3,.000,3,12,3,0,1,10,8,4
Itoro Umoh-Coleman,2003,HOU,G,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,1,0,0,1,1,0
Michele Van Gorp,2003,MIN,C,31,1,528,70,162,.432,0,1,.000,70,161,.435,.432,35,52,.673,32,107,17,10,20,56,87,175
Kamila Vodichkova,2003,SEA,F-C,28,27,709,101,213,.474,0,5,.000,101,208,.486,.474,82,101,.812,55,143,31,20,21,53,101,284
Ayana Walker,2003,DET,F,34,1,271,24,70,.343,0,0,,24,70,.343,.343,8,21,.381,34,71,10,10,11,19,33,56
DeMya Walker,2003,SAC,F,34,21,740,111,242,.459,2,15,.133,109,227,.480,.463,83,143,.580,61,149,47,25,23,69,95,307
Coquese Washington,2003,IND,G,20,10,348,19,67,.284,14,48,.292,5,19,.263,.388,11,13,.846,2,29,48,14,2,30,32,63
Tonya Massaline,2003,TOT,F,24,0,222,20,63,.317,6,20,.300,14,43,.326,.365,7,7,1.000,12,21,8,5,0,10,12,53
Teresa Weatherspoon,2003,NYL,G,34,34,824,37,96,.385,0,4,.000,37,92,.402,.385,24,32,.750,19,97,149,28,5,62,60,98
Tamika Whitmore,2003,NYL,F,33,29,823,110,242,.455,1,3,.333,109,239,.456,.457,50,76,.658,38,122,25,35,22,57,100,271
Adrian Williams-Strong,2003,PHO,C-F,34,33,985,141,351,.402,0,1,.000,141,350,.403,.402,52,85,.612,68,252,31,57,19,73,95,334
