Player,Year,Team,Position,Games_Played,Min_Played,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Wanda Guyton,1997,HOU,C,25,668,11.4,.500,.000,.557,14.7,13.4,3.4,2.2,1.0,22.1,13.7,0.9,0.7,1.7,.099
Lady Grooms,1997,UTA,F,28,691,6.9,.400,.060,.329,5.3,7.0,19.2,1.8,0.2,29.2,17.4,-1.3,-0.4,-1.8,-0.102
Tajama Abraham,1997,SAC,C,28,422,6.4,.427,.000,.302,9.2,10.0,6.0,1.5,2.3,25.6,20.3,-0.6,-0.2,-0.8,-0.077
Bridgette Gordon,1997,SAC,F,28,981,16.9,.508,.128,.343,8.3,8.7,16.4,2.1,0.7,18.8,20.1,2.5,-0.5,1.9,.079
Jennifer Gillom,1997,PHO,F-C,28,874,19.3,.513,.173,.322,6.0,10.6,6.1,2.3,1.5,11.9,25.1,2.7,1.8,4.5,.204
Kim Gessig,1997,LAS,F,1,4,-19.6,,,,0.0,15.1,0.0,0.0,0.0,100.0,11.1,0.0,0.0,0.0,-0.305
Pietra Gay,1997,HOU,G-F,5,12,2.8,.476,.000,2.500,0.0,16.5,31.1,4.7,0.0,48.8,32.0,-0.1,0.0,-0.1,-0.192
Travesa Gant,1997,LAS,C,2,13,-13.4,.000,.000,.000,0.0,14.0,0.0,0.0,0.0,66.7,10.2,-0.1,0.0,-0.1,-0.247
Toni Foster,1997,PHO,F-C,28,736,18.0,.520,.030,.403,10.2,14.4,8.1,3.9,2.5,18.3,17.7,1.4,2.1,3.5,.191
Kisha Ford,1997,NYL,G-F,28,473,8.6,.435,.175,.386,7.3,6.2,9.9,3.2,0.9,22.2,16.3,-0.2,0.7,0.5,.046
Isabelle Fijalkowski,1997,CLE,F-C,28,803,18.5,.570,.016,.419,10.6,12.5,17.5,1.2,1.9,20.0,21.2,2.9,0.7,3.6,.180
Michelle Edwards,1997,CLE,G,20,622,14.3,.488,.153,.506,2.9,7.3,27.7,3.0,0.4,27.0,21.4,0.0,0.7,0.8,.048
Tamecka Dixon,1997,LAS,G,27,715,19.2,.550,.206,.349,4.0,6.9,14.4,3.6,0.5,16.6,21.6,2.3,1.0,3.3,.183
Cassandra Crumpton-Moorer,1997,NYL,G,2,11,3.0,.250,.250,.000,11.2,11.1,17.1,0.0,0.0,20.0,20.5,0.0,0.0,0.0,-0.131
Mikiko Hagiwara,1997,TOT,G,26,360,6.3,.408,.709,.186,2.3,4.0,10.4,0.6,0.4,14.7,13.6,0.1,-0.1,0.0,.000
Tajama Abraham,1998,DET,C,12,44,8.2,.437,.000,1.071,5.4,9.4,0.0,2.5,1.8,19.5,26.4,-0.1,0.1,0.0,-0.001
Janeth Arcain,1998,HOU,G,30,657,14.0,.477,.169,.231,8.6,10.6,7.5,2.1,0.4,15.0,18.4,1.0,1.2,2.2,.133
Marlies Askamp,1998,PHO,C,26,319,19.7,.529,.000,.596,14.1,17.2,7.6,2.0,1.8,14.4,22.0,1.0,0.7,1.7,.213
Tricia Bader Binford,1998,UTA,G,22,206,2.7,.407,.509,.151,0.0,2.9,17.2,3.4,0.0,31.5,18.3,-0.6,0.0,-0.6,-0.123
Elena Baranova,1998,UTA,F,20,671,21.4,.516,.219,.324,11.1,16.6,20.7,1.7,3.5,18.0,20.8,1.8,0.5,2.3,.134
Adia Barnes,1998,SAC,F,29,619,10.0,.456,.211,.175,7.0,8.6,7.6,1.3,1.4,18.1,22.1,-0.2,0.2,0.0,.002
Quacy Barnes,1998,SAC,C,17,90,0.5,.403,.000,.733,6.9,5.6,4.1,0.6,5.8,31.2,15.0,-0.3,0.0,-0.2,-0.107
Tully Bevilaqua,1998,CLE,G,12,126,16.5,.617,.188,.375,2.3,5.4,32.3,5.2,1.3,32.6,10.6,0.3,0.2,0.5,.167
Rhonda Blades,1998,DET,G,29,340,2.7,.364,.641,.372,1.7,5.6,20.7,1.9,0.2,31.1,17.6,-1.0,0.4,-0.6,-0.075
Cindy Blodgett,1998,CLE,G,22,184,10.1,.411,.561,.364,1.6,5.1,17.5,2.7,0.0,13.6,23.2,-0.1,0.2,0.1,.026
Octavia Blue,1998,LAS,F,30,331,5.8,.417,.273,.312,6.9,8.8,5.2,2.1,0.7,23.6,15.5,-0.4,0.3,-0.2,-0.019
